id	localidad	secc_codigo	x2022	x2019	diff2019
3000101001	Abanilla	sección 01001	14350	12950	10,81
3000101002	Abanilla	sección 01002	16450	14350	14,63
3000101003	Abanilla	sección 01003	17150	15050	13,95
3000102001	Abanilla	sección 02001	15050	12950	16,22
3000102002	Abanilla	sección 02002	13650	12950	5,41
3000102003	Abanilla	sección 02003	17850	15050	18,60
3000201001	Abarán	sección 01001	15050	14350	4,88
3000201002	Abarán	sección 01002	14350	13650	5,13
3000201003	Abarán	sección 01003	17850	15750	13,33
3000201004	Abarán	sección 01004	14350	12950	10,81
3000201005	Abarán	sección 01005	13650	12950	5,41
3000201006	Abarán	sección 01006	12950	11550	12,12
3000201007	Abarán	sección 01007	15050	13650	10,26
3000201008	Abarán	sección 01008	15050	12950	16,22
3000201009	Abarán	sección 01009	16450	14350	14,63
3000201010	Abarán	sección 01010	16450	14350	14,63
3000201011	Abarán	sección 01011	13650	12250	11,43
3000201012	Abarán	sección 01012	14700	13650	7,69
3000301001	Águilas	sección 01001	15050	12950	16,22
3000301002	Águilas	sección 01002	15750	13650	15,38
3000301003	Águilas	sección 01003	12950	12250	5,71
3000301004	Águilas	sección 01004	13650	12250	11,43
3000301005	Águilas	sección 01005	13650	12950	5,41
3000301006	Águilas	sección 01006	12950	11550	12,12
3000301007	Águilas	sección 01007	14350	12950	10,81
3000301008	Águilas	sección 01008	12950	12250	5,71
3000301009	Águilas	sección 01009	19950	18550	7,55
3000301010	Águilas	sección 01010	12950	12950	0,00
3000301011	Águilas	sección 01011	14350	12250	17,14
3000301012	Águilas	sección 01012	12950	12950	0,00
3000301013	Águilas	sección 01013	13650	11550	18,18
3000301014	Águilas	sección 01014	12950	12950	0,00
3000301015	Águilas	sección 01015	15050	13650	10,26
3000301016	Águilas	sección 01016	19250	17150	12,24
3000301017	Águilas	sección 01017	8750	7350	19,05
3000301018	Águilas	sección 01018	13650	11550	18,18
3000301019	Águilas	sección 01019	18550	15750	17,78
3000301020	Águilas	sección 01020	15050	12950	16,22
3000301021	Águilas	sección 01021	15050	13650	10,26
3000301022	Águilas	sección 01022	15050	13650	10,26
3000301023	Águilas	sección 01023	13650	12250	11,43
3000301024	Águilas	sección 01024	15750	15050	4,65
3000301025	Águilas	sección 01025	13650	12950	5,41
3000301026	Águilas	sección 01026	15050	12950	16,22
3000301027	Águilas	sección 01027	13650	12950	5,41
3000301028	Águilas	sección 01028	13650	12250	11,43
3000301029	Águilas	sección 01029	17150	15050	13,95
3000301030	Águilas	sección 01030	16450	14350	14,63
3000401001	Albudeite	sección 01001	13650	12950	5,41
3000501001	Alcantarilla	sección 01001	13650	12950	5,41
3000501002	Alcantarilla	sección 01002	14350	13650	5,13
3000501003	Alcantarilla	sección 01003	15750	14350	9,76
3000501004	Alcantarilla	sección 01004	15050	13650	10,26
3000501005	Alcantarilla	sección 01005	16450	15050	9,30
3000501006	Alcantarilla	sección 01006	15750	12950	21,62
3000501007	Alcantarilla	sección 01007	13650	11550	18,18
3000501008	Alcantarilla	sección 01008	14350	13650	5,13
3000501009	Alcantarilla	sección 01009	15750	14350	9,76
3000501010	Alcantarilla	sección 01010	19250	17150	12,24
3000501011	Alcantarilla	sección 01011	13650	12250	11,43
3000501012	Alcantarilla	sección 01012	14350	12950	10,81
3000501013	Alcantarilla	sección 01013	10850	9450	14,81
3000501014	Alcantarilla	sección 01014	17150	15050	13,95
3000501015	Alcantarilla	sección 01015	14350	12950	10,81
3000501016	Alcantarilla	sección 01016	16450	14350	14,63
3000501017	Alcantarilla	sección 01017	14350	12950	10,81
3000501018	Alcantarilla	sección 01018	15050	13650	10,26
3000501019	Alcantarilla	sección 01019	17150	16450	4,26
3000501020	Alcantarilla	sección 01020	14350	12950	10,81
3000501021	Alcantarilla	sección 01021	15050	13650	10,26
3000501022	Alcantarilla	sección 01022	16450	15050	9,30
3000501023	Alcantarilla	sección 01023	12950	12250	5,71
3000501024	Alcantarilla	sección 01024	13650	12250	11,43
3000501025	Alcantarilla	sección 01025	17150	15750	8,89
3000501026	Alcantarilla	sección 01026	17150	14350	19,51
3000601001	Aledo	sección 01001	17150	15050	13,95
3000701001	Alguazas	sección 01001	16450	15050	9,30
3000701002	Alguazas	sección 01002	13650	12250	11,43
3000701003	Alguazas	sección 01003	9450	8050	17,39
3000701004	Alguazas	sección 01004	14350	12950	10,81
3000701005	Alguazas	sección 01005	15050	12950	16,22
3000701006	Alguazas	sección 01006	15750	15050	4,65
3000701007	Alguazas	sección 01007	12950	12250	5,71
3000701008	Alguazas	sección 01008	15050	13650	10,26
3000801001	Alhama de Murcia	sección 01001	16450	14700	11,90
3000801002	Alhama de Murcia	sección 01002	13650	12250	11,43
3000801003	Alhama de Murcia	sección 01003	14350	12950	10,81
3000801004	Alhama de Murcia	sección 01004	20650	17850	15,69
3000801005	Alhama de Murcia	sección 01005	12950	11550	12,12
3000801006	Alhama de Murcia	sección 01006	15750	15050	4,65
3000801007	Alhama de Murcia	sección 01007	15750	14350	9,76
3000801008	Alhama de Murcia	sección 01008	17850	17150	4,08
3000801009	Alhama de Murcia	sección 01009	20650	18550	11,32
3000801010	Alhama de Murcia	sección 01010	14350	13650	5,13
3000801011	Alhama de Murcia	sección 01011	14350	13650	5,13
3000801012	Alhama de Murcia	sección 01012	15750	15050	4,65
3000801013	Alhama de Murcia	sección 01013	17150	15750	8,89
3000801014	Alhama de Murcia	sección 01014	17150	15750	8,89
3000801015	Alhama de Murcia	sección 01015	16450	14350	14,63
3000801016	Alhama de Murcia	sección 01016	13650	12950	5,41
3000801017	Alhama de Murcia	sección 01017	17850	15750	13,33
3000801018	Alhama de Murcia	sección 01018	15750	15050	4,65
3000901001	Archena	sección 01001	15050	13650	10,26
3000901002	Archena	sección 01002	12950	11550	12,12
3000901003	Archena	sección 01003	13650	11550	18,18
3000901004	Archena	sección 01004	15050	12950	16,22
3000901005	Archena	sección 01005	13650	11550	18,18
3000901006	Archena	sección 01006	14350	13650	5,13
3000901007	Archena	sección 01007	14350	12250	17,14
3000901008	Archena	sección 01008	14350	12950	10,81
3000901009	Archena	sección 01009	17150	15750	8,89
3000901010	Archena	sección 01010	15050	13650	10,26
3000901011	Archena	sección 01011	15050	12950	16,22
3001001001	Beniel	sección 01001	14350	12250	17,14
3001001002	Beniel	sección 01002	15750	12950	21,62
3001001003	Beniel	sección 01003	13650	12950	5,41
3001001004	Beniel	sección 01004	12250	10850	12,90
3001001005	Beniel	sección 01005	11550	10150	13,79
3001001006	Beniel	sección 01006	13650	12250	11,43
3001001007	Beniel	sección 01007	12950	11550	12,12
3001001008	Beniel	sección 01008	15750	14350	9,76
3001001009	Beniel	sección 01009	14350	12950	10,81
3001001010	Beniel	sección 01010	13650	11550	18,18
3001001011	Beniel	sección 01011	15050	13650	10,26
3001101001	Blanca	sección 01001	12950	12250	5,71
3001101002	Blanca	sección 01002	15050	12950	16,22
3001101004	Blanca	sección 01004	12950	11550	12,12
3001101005	Blanca	sección 01005	15050	12950	16,22
3001101006	Blanca	sección 01006	15050	13650	10,26
3001201001	Bullas	sección 01001	17150	15750	8,89
3001201002	Bullas	sección 01002	13650	12250	11,43
3001201003	Bullas	sección 01003	13650	12250	11,43
3001201004	Bullas	sección 01004	15050	12950	16,22
3001201006	Bullas	sección 01006	14350	12950	10,81
3001201007	Bullas	sección 01007	13300	11550	15,15
3001201008	Bullas	sección 01008	15050	13650	10,26
3001201009	Bullas	sección 01009	14350	12950	10,81
3001201010	Bullas	sección 01010	17150	15050	13,95
3001201011	Bullas	sección 01011	15750	14350	9,76
3001201012	Bullas	sección 01012	15050	13650	10,26
3001201013	Bullas	sección 01013	15750	13650	15,38
3001301001	Calasparra	sección 01001	14350	12250	17,14
3001301002	Calasparra	sección 01002	11550	11200	3,13
3001301003	Calasparra	sección 01003	14350	12950	10,81
3001301004	Calasparra	sección 01004	14350	12950	10,81
3001301005	Calasparra	sección 01005	13650	12250	11,43
3001301006	Calasparra	sección 01006	15750	12950	21,62
3001301007	Calasparra	sección 01007	16450	14350	14,63
3001301008	Calasparra	sección 01008	13650	12950	5,41
3001301009	Calasparra	sección 01009	14350	12250	17,14
3001401001	Campos del Río	sección 01001	15750	14350	9,76
3001401002	Campos del Río	sección 01002	15050	13650	10,26
3001501001	Caravaca de la Cruz	sección 01001	13650	12250	11,43
3001501002	Caravaca de la Cruz	sección 01002	11550	10150	13,79
3001501003	Caravaca de la Cruz	sección 01003	12250	10850	12,90
3001501004	Caravaca de la Cruz	sección 01004	15050	14350	4,88
3001501005	Caravaca de la Cruz	sección 01005	14350	12950	10,81
3001501006	Caravaca de la Cruz	sección 01006	13650	11550	18,18
3001501007	Caravaca de la Cruz	sección 01007	12250	10150	20,69
3001501008	Caravaca de la Cruz	sección 01008	11550	10150	13,79
3001501009	Caravaca de la Cruz	sección 01009	16450	14350	14,63
3001501010	Caravaca de la Cruz	sección 01010	15050	13650	10,26
3001501011	Caravaca de la Cruz	sección 01011	18550	14350	29,27
3001501012	Caravaca de la Cruz	sección 01012	13650	12250	11,43
3001501013	Caravaca de la Cruz	sección 01013	13650	11550	18,18
3001501014	Caravaca de la Cruz	sección 01014	13650	12950	5,41
3001501016	Caravaca de la Cruz	sección 01016	17150	15750	8,89
3001501017	Caravaca de la Cruz	sección 01017	15750	12950	21,62
3001501018	Caravaca de la Cruz	sección 01018	15050	13650	10,26
3001501019	Caravaca de la Cruz	sección 01019	17150	14350	19,51
3001501020	Caravaca de la Cruz	sección 01020	15050	13650	10,26
3001501021	Caravaca de la Cruz	sección 01021	20650	17150	20,41
3001501022	Caravaca de la Cruz	sección 01022	15750	13650	15,38
3001501023	Caravaca de la Cruz	sección 01023	15050	12250	22,86
3001501024	Caravaca de la Cruz	sección 01024	16100	13650	17,95
3001501025	Caravaca de la Cruz	sección 01025	15750	13650	15,38
3001501026	Caravaca de la Cruz	sección 01026	17150	15050	13,95
3001501027	Caravaca de la Cruz	sección 01027	13650	12250	11,43
3001601001	Cartagena	sección 01001	24850	22750	9,23
3001601002	Cartagena	sección 01002	22050	19950	10,53
3001601004	Cartagena	sección 01004	19950	18550	7,55
3001602001	Cartagena	sección 02001	12250	10850	12,90
3001602002	Cartagena	sección 02002	10150	10850	-6,45
3001602004	Cartagena	sección 02004	17150	16450	4,26
3001602005	Cartagena	sección 02005	24150	22750	6,15
3001602006	Cartagena	sección 02006	22050	19250	14,55
3001602007	Cartagena	sección 02007	15750	14350	9,76
3001602008	Cartagena	sección 02008	16450	15750	4,44
3001602010	Cartagena	sección 02010	12950	12250	5,71
3001602011	Cartagena	sección 02011	22750	21350	6,56
3001602012	Cartagena	sección 02012	19600	17850	9,80
3001602013	Cartagena	sección 02013	17150	15750	8,89
3001602014	Cartagena	sección 02014	13650	12250	11,43
3001603001	Cartagena	sección 03001	21350	19250	10,91
3001603002	Cartagena	sección 03002	24850	22750	9,23
3001603003	Cartagena	sección 03003	24850	22050	12,70
3001603005	Cartagena	sección 03005	19950	16450	21,28
3001603006	Cartagena	sección 03006	20650	17150	20,41
3001603007	Cartagena	sección 03007	26250	23450	11,94
3001603008	Cartagena	sección 03008	17150	16450	4,26
3001603009	Cartagena	sección 03009	25550	22050	15,87
3001603010	Cartagena	sección 03010	25200	22050	14,29
3001603011	Cartagena	sección 03011	17850	15750	13,33
3001603012	Cartagena	sección 03012	22050	20650	6,78
3001603013	Cartagena	sección 03013	25550	22750	12,31
3001603014	Cartagena	sección 03014	21350	19250	10,91
3001603015	Cartagena	sección 03015	26950	24150	11,59
3001603016	Cartagena	sección 03016	26950	22750	18,46
3001603017	Cartagena	sección 03017	18550	16450	12,77
3001603018	Cartagena	sección 03018	20650	18550	11,32
3001603019	Cartagena	sección 03019	25550	24150	5,80
3001603020	Cartagena	sección 03020	21350	19250	10,91
3001603021	Cartagena	sección 03021	12950	12250	5,71
3001603022	Cartagena	sección 03022	22050	19950	10,53
3001603023	Cartagena	sección 03023	21350	22050	-3,17
3001603024	Cartagena	sección 03024	24150	21350	13,11
3001603025	Cartagena	sección 03025	17150	15750	8,89
3001603026	Cartagena	sección 03026	19950	19250	3,64
3001603027	Cartagena	sección 03027	24150	21350	13,11
3001603028	Cartagena	sección 03028	26250	25550	2,74
3001603029	Cartagena	sección 03029			
3001603030	Cartagena	sección 03030	19250	17850	
3001603031	Cartagena	sección 03031	26250	23450	
3001603032	Cartagena	sección 03032	26250	24150	
3001603034	Cartagena	sección 03034	20650	17850	
3001603035	Cartagena	sección 03035	22750	20650	
3001603036	Cartagena	sección 03036		16450	
3001603037	Cartagena	sección 03037	22050	20650	
3001604001	Cartagena	sección 04001	16450	14350	
3001604002	Cartagena	sección 04002	15750	13650	
3001604003	Cartagena	sección 04003	14350	13650	
3001604004	Cartagena	sección 04004	10850	9450	
3001604005	Cartagena	sección 04005	7350	7350	
3001605001	Cartagena	sección 05001	15050	13650	
3001605002	Cartagena	sección 05002	15750	13650	
3001605004	Cartagena	sección 05004	13650	12250	
3001605005	Cartagena	sección 05005	8050	7350	
3001605006	Cartagena	sección 05006	7350	5950	
3001605007	Cartagena	sección 05007	9450	8050	
3001605008	Cartagena	sección 05008	12250	11550	
3001605009	Cartagena	sección 05009	8750	7350	
3001605011	Cartagena	sección 05011	15750	13650	
3001605012	Cartagena	sección 05012	15750	15050	
3001606001	Cartagena	sección 06001	13650	12950	
3001606002	Cartagena	sección 06002	13300	12250	
3001606003	Cartagena	sección 06003	13650	12250	
3001606004	Cartagena	sección 06004	11550	10150	
3001606005	Cartagena	sección 06005	14350	12950	
3001606006	Cartagena	sección 06006	10850	10850	
3001606007	Cartagena	sección 06007	14350	12950	
3001606008	Cartagena	sección 06008	19950	16450	
3001606009	Cartagena	sección 06009	15750	13650	
3001606010	Cartagena	sección 06010	13650	12250	
3001606011	Cartagena	sección 06011	14350	12950	
3001606012	Cartagena	sección 06012	15750	13650	
3001606013	Cartagena	sección 06013	15050	12950	
3001606014	Cartagena	sección 06014	12250	11550	
3001606016	Cartagena	sección 06016	15750	13650	
3001606017	Cartagena	sección 06017	13650	12950	
3001607001	Cartagena	sección 07001	12950	11550	
3001607002	Cartagena	sección 07002	12250	11550	
3001607003	Cartagena	sección 07003	14350	12250	
3001607004	Cartagena	sección 07004	17150	15050	
3001607005	Cartagena	sección 07005	12950	12250	
3001607006	Cartagena	sección 07006	12950	11550	
3001607007	Cartagena	sección 07007	12250	11550	
3001607008	Cartagena	sección 07008	13650	12950	
3001607009	Cartagena	sección 07009	14350	12950	
3001607010	Cartagena	sección 07010	10850	10150	
3001607011	Cartagena	sección 07011	15750	14350	
3001607012	Cartagena	sección 07012	14350	12950	
3001607013	Cartagena	sección 07013	14350	12950	
3001607014	Cartagena	sección 07014	15050	13650	
3001608001	Cartagena	sección 08001	15050	13650	
3001608002	Cartagena	sección 08002	9450	7350	
3001608003	Cartagena	sección 08003	15750	13650	
3001608004	Cartagena	sección 08004	13650	12250	
3001608005	Cartagena	sección 08005	16800	15050	
3001608006	Cartagena	sección 08006	20650	19950	
3001608007	Cartagena	sección 08007	19250	17150	
3001608008	Cartagena	sección 08008	13650	11550	
3001608009	Cartagena	sección 08009	14350	12250	
3001608010	Cartagena	sección 08010	14350	13650	
3001608011	Cartagena	sección 08011	16450	15050	
3001608012	Cartagena	sección 08012	17150	15050	
3001608013	Cartagena	sección 08013	13650	12250	
3001608014	Cartagena	sección 08014	12250	10850	
3001608015	Cartagena	sección 08015	17150	15050	
3001608016	Cartagena	sección 08016	15750	13650	
3001608017	Cartagena	sección 08017	13650	12250	
3001608018	Cartagena	sección 08018	15050	15750	
3001608019	Cartagena	sección 08019	17150	15050	
3001608020	Cartagena	sección 08020	15750	14350	
3001608021	Cartagena	sección 08021	15750	13650	
3001608022	Cartagena	sección 08022	15050	13650	
3001608023	Cartagena	sección 08023	15050	12250	
3001608024	Cartagena	sección 08024	19250	17150	
3001608025	Cartagena	sección 08025	15750	13650	
3001608026	Cartagena	sección 08026	15750	15050	
3001608027	Cartagena	sección 08027	16450	14350	
3001608028	Cartagena	sección 08028	22750	19250	
3001608029	Cartagena	sección 08029	18550	16450	
3001608030	Cartagena	sección 08030	17850	16450	
3001608031	Cartagena	sección 08031	15750	14350	
3001608032	Cartagena	sección 08032	15750	14350	
3001608033	Cartagena	sección 08033	11550	10150	
3001608034	Cartagena	sección 08034	19950	19250	
3001608035	Cartagena	sección 08035	14350	12250	
3001608036	Cartagena	sección 08036			
3001608037	Cartagena	sección 08037		12250	
3001608038	Cartagena	sección 08038	19250	17850	
3001608039	Cartagena	sección 08039	21350	18550	
3001608040	Cartagena	sección 08040	17150	15750	
3001608041	Cartagena	sección 08041	24150	21350	
3001609001	Cartagena	sección 09001	15750	13650	
3001609002	Cartagena	sección 09002	14350	12950	
3001609003	Cartagena	sección 09003	16450	14350	
3001609004	Cartagena	sección 09004	17850	15750	
3001609005	Cartagena	sección 09005	18550	17150	
3001610001	Cartagena	sección 10001	17850	16450	
3001610002	Cartagena	sección 10002	16450	14350	
3001610003	Cartagena	sección 10003	11550	10850	
3001610004	Cartagena	sección 10004	13650	12950	
3001610005	Cartagena	sección 10005	13650	12250	
3001610006	Cartagena	sección 10006	13650	12250	
3001610007	Cartagena	sección 10007	15050	13650	
3001610008	Cartagena	sección 10008	16450	13650	
3001610009	Cartagena	sección 10009	15750	15050	
3001610010	Cartagena	sección 10010	14350	12950	
3001610011	Cartagena	sección 10011	12950	11550	
3001610012	Cartagena	sección 10012	17150	15400	
3001610013	Cartagena	sección 10013	15750	13650	
3001610014	Cartagena	sección 10014	24150	21350	
3001610015	Cartagena	sección 10015	15050	12950	
3001610016	Cartagena	sección 10016	12250	12250	
3001610017	Cartagena	sección 10017	16450	15050	
3001610018	Cartagena	sección 10018	15050	12950	
3001610019	Cartagena	sección 10019	15050	14350	
3001610020	Cartagena	sección 10020	17150	16450	
3001610021	Cartagena	sección 10021	15750	15050	
3001610022	Cartagena	sección 10022	22050	19950	
3001610023	Cartagena	sección 10023	17850	16450	
3001610024	Cartagena	sección 10024	28350	22750	
3001610025	Cartagena	sección 10025	17150	15750	
3001610026	Cartagena	sección 10026	15750	13650	
3001610027	Cartagena	sección 10027	21350	18550	
3001610028	Cartagena	sección 10028	26950	24150	
3001610029	Cartagena	sección 10029	24850	22050	
3001610030	Cartagena	sección 10030	16450	15050	
3001610031	Cartagena	sección 10031	26250	24150	
3001610032	Cartagena	sección 10032	20650	18550	
3001610033	Cartagena	sección 10033	19250	17150	
3001610034	Cartagena	sección 10034	11550	10150	
3001610035	Cartagena	sección 10035	13650	12950	
3001610036	Cartagena	sección 10036	16450	15750	
3001610037	Cartagena	sección 10037	17150	15750	
3001610038	Cartagena	sección 10038	14350	12950	
3001610039	Cartagena	sección 10039	18550	15750	
3001610040	Cartagena	sección 10040	24150	20650	
3001610042	Cartagena	sección 10042	17150	15050	
3001610043	Cartagena	sección 10043	20650	17850	
3001610044	Cartagena	sección 10044	15050	14350	
3001610045	Cartagena	sección 10045	26250	24150	
3001610046	Cartagena	sección 10046	22750	19950	
3001701001	Cehegín	sección 01001	12250	10850	
3001701003	Cehegín	sección 01003	15050	12250	
3001701004	Cehegín	sección 01004	11550	10850	
3001701005	Cehegín	sección 01005	15050	12950	
3001701006	Cehegín	sección 01006	13650	12250	
3001701007	Cehegín	sección 01007	12950	11550	
3001701008	Cehegín	sección 01008	15050	12950	
3001701009	Cehegín	sección 01009	16450	14700	
3001701010	Cehegín	sección 01010	14350	12250	
3001701011	Cehegín	sección 01011	12950	10850	
3001701012	Cehegín	sección 01012	12950	11550	
3001701013	Cehegín	sección 01013	14350	12950	
3001701014	Cehegín	sección 01014	12950	11550	
3001701015	Cehegín	sección 01015	15050	12250	
3001701016	Cehegín	sección 01016	14350	12250	
3001701017	Cehegín	sección 01017			
3001801001	Ceutí	sección 01001	11550	10850	
3001801002	Ceutí	sección 01002	14350	13650	
3001801003	Ceutí	sección 01003	14350	13650	
3001801004	Ceutí	sección 01004	15050	12950	
3001801005	Ceutí	sección 01005	15050	12950	
3001801006	Ceutí	sección 01006	14350	12950	
3001801007	Ceutí	sección 01007	18550	17150	
3001801008	Ceutí	sección 01008	15050	13650	
3001801009	Ceutí	sección 01009	13650	12950	
